trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.01, 'e': 0.2725317930340126}",30,0,-45.10704418271926,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
131,False,"{'a': 0.01, 'e': 0.2698200563846868}",25,17,5.665037291144135,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.26713530196585034}",20,0,16.71240269671023,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.01, 'e': 0.26447726129982396}",25,10,-15.71989240355897,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.01, 'e': 0.261845668580326}",20,10,5.30413804879227,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2592402606458915}",30,20,16.066282696531083,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.2566607769535559}",35,13,23.90680009951555,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.25410695955280027}",20,0,1.3867897913622662,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
138,False,"{'a': 0.01, 'e': 0.25157855305975646}",30,16,24.14827951329351,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.24907530463166816}",25,0,-36.2976857697543,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
140,False,"{'a': 0.01, 'e': 0.24659696394160643}",20,0,11.669490702648915,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
